No,Cluster,Question,Suggested slug,Funnel stage,Priority
1,Cost and pricing,How much does a private tutor cost in the UK in 2026?,how-much-does-a-private-tutor-cost-uk,Middle,High
2,Cost and pricing,How much does a maths tutor cost per hour?,how-much-does-a-maths-tutor-cost-per-hour,Middle,High
3,Cost and pricing,How much does an English tutor cost per hour?,how-much-does-an-english-tutor-cost-per-hour,Middle,High
4,Cost and pricing,How much does a science tutor cost per hour?,how-much-does-a-science-tutor-cost-per-hour,Middle,High
5,Cost and pricing,Why do tutoring prices range from £25 to £100 an hour?,why-do-tutoring-prices-vary-so-much,Middle,High
6,Cost and pricing,Is online tutoring cheaper than in-person tutoring?,is-online-tutoring-cheaper-than-in-person,Middle,High
7,Cost and pricing,How much does tutoring cost in London compared with the rest of the UK?,tutoring-costs-london-vs-rest-of-uk,Middle,Medium
8,Cost and pricing,How much should I budget for a full year of GCSE tutoring?,cost-of-a-year-of-gcse-tutoring,Bottom,High
9,Cost and pricing,How much does A-Level tutoring cost for a full year?,cost-of-a-year-of-a-level-tutoring,Bottom,High
10,Cost and pricing,What does tutoring cost per term?,how-much-does-tutoring-cost-per-term,Middle,Medium
11,Cost and pricing,Do tutors charge more during exam season?,do-tutors-charge-more-in-exam-season,Middle,Medium
12,Cost and pricing,Do tutors charge for travel time?,do-tutors-charge-for-travel-time,Bottom,Medium
13,Cost and pricing,Is group tutoring cheaper than one-to-one and does it work as well?,group-tutoring-vs-one-to-one-cost,Middle,Medium
14,Cost and pricing,How much does 11+ tutoring cost?,how-much-does-11-plus-tutoring-cost,Middle,Medium
15,Cost and pricing,How much does Oxbridge and medicine admissions tutoring cost?,how-much-does-admissions-tutoring-cost,Middle,Medium
16,Cost and pricing,Do tutoring agencies charge a registration or matching fee?,do-tutoring-agencies-charge-a-registration-fee,Bottom,Medium
17,Cost and pricing,Why do agency tutors cost more than tutors found in Facebook groups?,why-agency-tutors-cost-more,Middle,High
18,Cost and pricing,Is a cheap tutor ever worth it?,is-a-cheap-tutor-worth-it,Middle,High
19,Value and results,Is tutoring actually worth the money?,is-tutoring-worth-the-money,Middle,High
20,Value and results,Does tutoring really improve grades and by how much?,does-tutoring-improve-grades,Middle,High
21,Value and results,How many grades can a tutor realistically move my child up?,how-many-grades-can-a-tutor-improve,Middle,High
22,Value and results,Is tutoring worth it if my child is already predicted an A?,is-tutoring-worth-it-for-high-achievers,Middle,Medium
23,Value and results,Is tutoring worth it for a child who is coping fine?,is-tutoring-worth-it-if-my-child-is-doing-fine,Middle,Medium
24,Value and results,What do parents actually get back for what they spend on tutoring?,tutoring-return-on-investment,Middle,Medium
25,Value and results,Is it worth getting a tutor for just one subject?,is-a-tutor-worth-it-for-one-subject,Middle,High
26,Value and results,Can tutoring help my child get into a grammar or private school?,can-tutoring-help-with-selective-school-entry,Middle,Medium
27,Value and results,Is tutoring worth it in Year 9?,is-tutoring-worth-it-in-year-9,Middle,Medium
28,Value and results,What happens if the tutoring does not work?,what-if-tutoring-does-not-work,Bottom,High
29,Choosing a tutor,How do I find a good tutor near me?,how-to-find-a-good-tutor-near-me,Bottom,High
30,Choosing a tutor,What qualifications should a tutor actually have?,what-qualifications-should-a-tutor-have,Middle,High
31,Choosing a tutor,Qualified teacher or university student: which makes the better tutor?,qualified-teacher-vs-student-tutor,Middle,High
32,Choosing a tutor,Do tutors need a DBS check and how do I verify it?,do-tutors-need-a-dbs-check,Bottom,High
33,Choosing a tutor,What should I ask a tutor before I hire them?,questions-to-ask-a-tutor-before-hiring,Bottom,High
34,Choosing a tutor,What are the red flags when hiring a tutor?,red-flags-when-hiring-a-tutor,Bottom,High
35,Choosing a tutor,How can I tell if a tutor is any good before I pay?,how-to-tell-if-a-tutor-is-good,Bottom,High
36,Choosing a tutor,Does my child's tutor need to know their exam board?,does-a-tutor-need-to-know-the-exam-board,Middle,High
37,Choosing a tutor,Is it better to hire a tutor who is an examiner?,should-i-hire-an-examiner-as-a-tutor,Middle,Medium
38,Choosing a tutor,Should I trust a tutor recommended in a local Facebook group?,hiring-a-tutor-from-a-facebook-group,Bottom,High
39,Choosing a tutor,How do I know tutor reviews are genuine?,are-tutor-reviews-genuine,Bottom,Medium
40,Choosing a tutor,Is a free trial lesson worth doing and what should I look for?,is-a-free-trial-tutoring-lesson-worth-it,Bottom,High
41,Choosing a tutor,What should happen in the first tutoring session?,what-happens-in-the-first-tutoring-session,Bottom,Medium
42,Choosing a tutor,How do I change tutors without upsetting my child?,how-to-change-tutors,Bottom,Medium
43,How tutoring works,How does online tutoring actually work?,how-does-online-tutoring-work,Middle,High
44,How tutoring works,Is online tutoring as effective as in person for A-Levels?,online-vs-in-person-tutoring-a-level,Middle,High
45,How tutoring works,How long should a tutoring session be?,how-long-should-a-tutoring-session-be,Middle,Medium
46,How tutoring works,How often should my child have tutoring?,how-often-should-my-child-have-tutoring,Middle,High
47,How tutoring works,Can one tutor cover more than one subject?,can-one-tutor-teach-multiple-subjects,Bottom,Medium
48,How tutoring works,Should tutoring happen at our house the tutor's house or online?,where-should-tutoring-take-place,Middle,Medium
49,How tutoring works,Should parents sit in on tutoring sessions?,should-parents-sit-in-on-tutoring,Middle,Medium
50,How tutoring works,What does a tutor need from us — laptop textbooks past papers?,what-do-you-need-for-tutoring-sessions,Bottom,Low
51,How tutoring works,Should tutoring carry on through the school holidays?,should-tutoring-continue-in-the-holidays,Middle,Medium
